Tanggal,Jam,Jenis,Kategori,Jumlah,Keterangan
2023-01-01,7:33,Pengeluaran,Makan Pagi,25000,Makan rutin
2023-01-01,8:26,Pemasukan,Gaji,4000000,Gaji bulanan
2023-01-01,12:05,Pengeluaran,Makan Siang,19000,Makan rutin
2023-01-01,19:00,Pengeluaran,Makan Malam,23000,Makan rutin
2023-01-01,19:27,Pengeluaran,Belanja Bulanan,480000,Belanja kebutuhan bulanan
2023-01-02,8:00,Pengeluaran,Makan Pagi,18000,Makan rutin
2023-01-02,9:03,Pengeluaran,Bensin,55000,Pengisian bensin mingguan
2023-01-02,11:43,Pengeluaran,Makan Siang,15000,Makan rutin
2023-01-02,19:02,Pengeluaran,Makan Malam,27000,Makan rutin
2023-01-03,6:04,Pengeluaran,Makan Pagi,19000,Makan rutin
2023-01-03,13:14,Pengeluaran,Makan Siang,27000,Makan rutin
2023-01-03,19:56,Pengeluaran,Makan Malam,21000,Makan rutin
2023-01-04,6:07,Pengeluaran,Makan Pagi,18000,Makan rutin
2023-01-04,8:34,Pengeluaran,Transportasi Umum,18000,Transportasi alternatif
2023-01-04,13:03,Pengeluaran,Makan Siang,22000,Makan rutin
2023-01-04,20:58,Pengeluaran,Makan Malam,24000,Makan rutin
2023-01-05,6:27,Pengeluaran,Makan Pagi,28000,Makan rutin
2023-01-05,11:08,Pengeluaran,Listrik Kos,173000,Tagihan listrik kos
2023-01-05,11:31,Pengeluaran,Makan Siang,25000,Makan rutin
2023-01-05,20:03,Pengeluaran,Makan Malam,20000,Makan rutin
2023-01-06,6:06,Pengeluaran,Makan Pagi,25000,Makan rutin
2023-01-06,13:03,Pengeluaran,Makan Siang,22000,Makan rutin
2023-01-06,18:30,Pengeluaran,Makan Malam,25000,Makan rutin
2023-01-07,7:34,Pengeluaran,Makan Pagi,17000,Makan rutin
2023-01-07,13:44,Pengeluaran,Makan Siang,20000,Makan rutin
2023-01-07,20:02,Pengeluaran,Makan Malam,16000,Makan rutin
2023-01-08,6:33,Pengeluaran,Makan Pagi,24000,Makan rutin
2023-01-08,13:29,Pengeluaran,Makan Siang,17000,Makan rutin
2023-01-08,19:10,Pengeluaran,Makan Malam,18000,Makan rutin
2023-01-09,6:59,Pengeluaran,Makan Pagi,24000,Makan rutin
2023-01-09,7:53,Pengeluaran,Transportasi Umum,17000,Transportasi alternatif
2023-01-09,9:13,Pengeluaran,Bensin,68000,Pengisian bensin mingguan
2023-01-09,12:39,Pengeluaran,Makan Siang,27000,Makan rutin
2023-01-09,18:17,Pengeluaran,Makan Malam,23000,Makan rutin
2023-01-10,7:20,Pengeluaran,Makan Pagi,15000,Makan rutin
2023-01-10,13:37,Pengeluaran,Makan Siang,23000,Makan rutin
2023-01-10,19:53,Pengeluaran,Makan Malam,28000,Makan rutin
2023-01-11,7:52,Pengeluaran,Makan Pagi,28000,Makan rutin
2023-01-11,12:37,Pengeluaran,Makan Siang,24000,Makan rutin
2023-01-11,18:24,Pengeluaran,Makan Malam,25000,Makan rutin
2023-01-12,7:51,Pengeluaran,Makan Pagi,24000,Makan rutin
2023-01-12,13:35,Pengeluaran,Makan Siang,17000,Makan rutin
2023-01-12,19:04,Pengeluaran,Makan Malam,29000,Makan rutin
2023-01-13,8:15,Pengeluaran,Transportasi Umum,25000,Transportasi alternatif
2023-01-13,8:37,Pengeluaran,Makan Pagi,15000,Makan rutin
2023-01-13,12:04,Pengeluaran,Makan Siang,23000,Makan rutin
2023-01-13,19:35,Pengeluaran,Makan Malam,18000,Makan rutin
2023-01-14,7:52,Pengeluaran,Makan Pagi,24000,Makan rutin
2023-01-14,12:58,Pengeluaran,Makan Siang,19000,Makan rutin
2023-01-14,20:43,Pengeluaran,Makan Malam,16000,Makan rutin
2023-01-15,8:02,Pengeluaran,Makan Pagi,16000,Makan rutin
2023-01-15,13:54,Pengeluaran,Makan Siang,20000,Makan rutin
2023-01-15,20:00,Pengeluaran,Makan Malam,17000,Makan rutin
2023-01-16,6:51,Pengeluaran,Makan Pagi,16000,Makan rutin
2023-01-16,11:12,Pengeluaran,Bensin,56000,Pengisian bensin mingguan
2023-01-16,13:29,Pengeluaran,Makan Siang,23000,Makan rutin
2023-01-16,20:46,Pengeluaran,Makan Malam,22000,Makan rutin
2023-01-17,7:19,Pengeluaran,Makan Pagi,25000,Makan rutin
2023-01-17,8:01,Pengeluaran,Transportasi Umum,23000,Transportasi alternatif
2023-01-17,11:05,Pengeluaran,Makan Siang,26000,Makan rutin
2023-01-17,20:50,Pengeluaran,Makan Malam,25000,Makan rutin
2023-01-18,6:26,Pengeluaran,Makan Pagi,17000,Makan rutin
2023-01-18,8:09,Pengeluaran,Transportasi Umum,15000,Transportasi alternatif
2023-01-18,12:23,Pengeluaran,Makan Siang,17000,Makan rutin
2023-01-18,18:40,Pengeluaran,Makan Malam,29000,Makan rutin
2023-01-19,7:13,Pengeluaran,Makan Pagi,26000,Makan rutin
2023-01-19,13:07,Pengeluaran,Makan Siang,23000,Makan rutin
2023-01-19,18:27,Pengeluaran,Makan Malam,28000,Makan rutin
2023-01-20,7:09,Pengeluaran,Makan Pagi,27000,Makan rutin
2023-01-20,12:30,Pengeluaran,Makan Siang,15000,Makan rutin
2023-01-20,19:11,Pengeluaran,Makan Malam,23000,Makan rutin
