Tanggal,Jam,Jenis,Kategori,Jumlah,Keterangan
2024-01-01,9:38,Pemasukan,Gaji,2927318,Gaji bulanan
2024-01-01,12:03,Pengeluaran,Kesehatan,60786,Pengeluaran rutin
2024-01-01,8:10,Pengeluaran,Makanan,190192,Pengeluaran rutin
2024-01-01,10:29,Pengeluaran,Belanja,40773,Pengeluaran rutin
2024-01-02,8:58,Pemasukan,Gaji,4518715,Gaji bulanan
2024-01-02,22:59,Pengeluaran,Hiburan,20059,Pengeluaran rutin
2024-01-02,8:57,Pengeluaran,Transportasi,152270,Pengeluaran rutin
2024-01-02,19:53,Pengeluaran,Kesehatan,10404,Pengeluaran rutin
2024-01-02,20:25,Pengeluaran,Tagihan,81211,Pengeluaran rutin
2024-01-03,9:13,Pemasukan,Gaji,4912056,Gaji bulanan
2024-01-03,10:59,Pengeluaran,Tagihan,100204,Pengeluaran rutin
2024-01-03,17:28,Pengeluaran,Kesehatan,83836,Pengeluaran rutin
2024-01-03,9:05,Pengeluaran,Belanja,87077,Pengeluaran rutin
2024-01-03,18:40,Pengeluaran,Hiburan,81667,Pengeluaran rutin
2024-01-04,8:48,Pemasukan,Gaji,4841176,Gaji bulanan
2024-01-04,8:39,Pengeluaran,Hiburan,25664,Pengeluaran rutin
2024-01-04,14:57,Pengeluaran,Kesehatan,143457,Pengeluaran rutin
2024-01-04,9:06,Pengeluaran,Tagihan,144671,Pengeluaran rutin
2024-01-04,20:19,Pengeluaran,Belanja,39228,Pengeluaran rutin
2024-01-05,10:50,Pemasukan,Gaji,3997685,Gaji bulanan
2024-01-05,11:45,Pengeluaran,Hiburan,150513,Pengeluaran rutin
2024-01-05,19:12,Pengeluaran,Belanja,147857,Pengeluaran rutin
2024-01-05,13:17,Pengeluaran,Kesehatan,147001,Pengeluaran rutin
2024-01-05,22:50,Pengeluaran,Transportasi,167911,Pengeluaran rutin
2024-01-06,8:32,Pengeluaran,Hiburan,177931,Pengeluaran rutin
2024-01-06,11:19,Pengeluaran,Makanan,104758,Pengeluaran rutin
2024-01-06,21:22,Pengeluaran,Belanja,23382,Pengeluaran rutin
2024-01-06,13:07,Pengeluaran,Tagihan,18316,Pengeluaran rutin
2024-01-07,13:46,Pengeluaran,Kesehatan,196718,Pengeluaran rutin
2024-01-07,13:05,Pengeluaran,Belanja,10298,Pengeluaran rutin
2024-01-07,17:39,Pengeluaran,Belanja,175383,Pengeluaran rutin
2024-01-08,19:57,Pengeluaran,Hiburan,108480,Pengeluaran rutin
2024-01-08,20:32,Pengeluaran,Makanan,118968,Pengeluaran rutin
2024-01-08,18:46,Pengeluaran,Tagihan,20609,Pengeluaran rutin
2024-01-08,12:10,Pengeluaran,Makanan,17000,Pengeluaran rutin
2024-01-09,9:02,Pengeluaran,Belanja,186926,Pengeluaran rutin
2024-01-09,9:49,Pengeluaran,Kesehatan,177207,Pengeluaran rutin
2024-01-09,9:36,Pengeluaran,Transportasi,129423,Pengeluaran rutin
2024-01-10,15:47,Pengeluaran,Makanan,192105,Pengeluaran rutin
2024-01-10,16:00,Pengeluaran,Hiburan,112683,Pengeluaran rutin
2024-01-10,18:31,Pengeluaran,Makanan,49857,Pengeluaran rutin
2024-01-11,12:54,Pengeluaran,Hiburan,151573,Pengeluaran rutin
2024-01-11,14:11,Pengeluaran,Transportasi,92650,Pengeluaran rutin
2024-01-11,7:16,Pengeluaran,Makanan,181635,Pengeluaran rutin
2024-01-11,15:33,Pengeluaran,Belanja,106972,Pengeluaran rutin
2024-01-12,8:12,Pengeluaran,Belanja,95097,Pengeluaran rutin
2024-01-12,14:53,Pengeluaran,Kesehatan,192298,Pengeluaran rutin
2024-01-12,20:58,Pengeluaran,Belanja,130954,Pengeluaran rutin
2024-01-13,7:16,Pengeluaran,Makanan,84968,Pengeluaran rutin
2024-01-13,8:06,Pengeluaran,Transportasi,38303,Pengeluaran rutin
2024-01-13,8:26,Pengeluaran,Hiburan,101052,Pengeluaran rutin
2024-01-14,8:43,Pengeluaran,Tagihan,101333,Pengeluaran rutin
2024-01-14,11:38,Pengeluaran,Hiburan,70816,Pengeluaran rutin
2024-01-14,7:25,Pengeluaran,Makanan,41900,Pengeluaran rutin
2024-01-15,12:38,Pemasukan,Bonus,1787556,Bonus pertengahan bulan
2024-01-15,18:54,Pengeluaran,Makanan,57552,Pengeluaran rutin
2024-01-15,17:11,Pengeluaran,Hiburan,165589,Pengeluaran rutin
2024-01-15,15:14,Pengeluaran,Makanan,29902,Pengeluaran rutin
2024-01-16,12:48,Pemasukan,Bonus,788973,Bonus pertengahan bulan
2024-01-16,20:35,Pengeluaran,Makanan,62629,Pengeluaran rutin
2024-01-16,9:58,Pengeluaran,Tagihan,105683,Pengeluaran rutin
2024-01-16,18:00,Pengeluaran,Hiburan,19699,Pengeluaran rutin
2024-01-17,10:14,Pemasukan,Bonus,1485907,Bonus pertengahan bulan
2024-01-17,18:02,Pengeluaran,Belanja,192124,Pengeluaran rutin
2024-01-17,7:54,Pengeluaran,Transportasi,88737,Pengeluaran rutin
2024-01-17,13:31,Pengeluaran,Kesehatan,191577,Pengeluaran rutin
2024-01-17,15:30,Pengeluaran,Kesehatan,75304,Pengeluaran rutin
2024-01-18,10:41,Pemasukan,Bonus,946275,Bonus pertengahan bulan
2024-01-18,14:51,Pengeluaran,Hiburan,128947,Pengeluaran rutin
2024-01-18,15:26,Pengeluaran,Kesehatan,101642,Pengeluaran rutin
2024-01-18,15:53,Pengeluaran,Belanja,21366,Pengeluaran rutin
2024-01-18,9:29,Pengeluaran,Makanan,17041,Pengeluaran rutin
2024-01-19,12:51,Pemasukan,Bonus,1819249,Bonus pertengahan bulan
2024-01-19,15:20,Pengeluaran,Tagihan,134892,Pengeluaran rutin
2024-01-19,10:56,Pengeluaran,Hiburan,73682,Pengeluaran rutin
2024-01-19,18:15,Pengeluaran,Hiburan,98537,Pengeluaran rutin
2024-01-19,21:58,Pengeluaran,Transportasi,174310,Pengeluaran rutin
2024-01-20,12:42,Pemasukan,Bonus,1608554,Bonus pertengahan bulan
2024-01-20,9:48,Pengeluaran,Kesehatan,111889,Pengeluaran rutin
2024-01-20,14:27,Pengeluaran,Kesehatan,74807,Pengeluaran rutin
2024-01-20,17:06,Pengeluaran,Transportasi,111347,Pengeluaran rutin
2024-01-21,9:13,Pengeluaran,Makanan,98167,Pengeluaran rutin
2024-01-21,8:29,Pengeluaran,Makanan,34683,Pengeluaran rutin
2024-01-21,19:14,Pengeluaran,Hiburan,119596,Pengeluaran rutin
2024-01-21,12:19,Pengeluaran,Hiburan,158460,Pengeluaran rutin
2024-01-22,14:12,Pengeluaran,Kesehatan,161104,Pengeluaran rutin
2024-01-22,20:32,Pengeluaran,Kesehatan,27985,Pengeluaran rutin
2024-01-22,10:18,Pengeluaran,Hiburan,71759,Pengeluaran rutin
2024-01-23,20:06,Pengeluaran,Belanja,17012,Pengeluaran rutin
2024-01-23,17:50,Pengeluaran,Kesehatan,141109,Pengeluaran rutin
2024-01-23,9:44,Pengeluaran,Kesehatan,159788,Pengeluaran rutin
2024-01-23,8:21,Pengeluaran,Tagihan,184952,Pengeluaran rutin
2024-01-24,19:38,Pengeluaran,Makanan,124186,Pengeluaran rutin
2024-01-24,13:26,Pengeluaran,Tagihan,36031,Pengeluaran rutin
2024-01-24,7:22,Pengeluaran,Hiburan,186675,Pengeluaran rutin
2024-01-24,21:51,Pengeluaran,Transportasi,21965,Pengeluaran rutin
2024-01-25,13:56,Pengeluaran,Tagihan,57553,Pengeluaran rutin
2024-01-25,18:15,Pengeluaran,Makanan,76830,Pengeluaran rutin
2024-01-25,21:23,Pengeluaran,Transportasi,48258,Pengeluaran rutin
2024-01-25,16:48,Pengeluaran,Kesehatan,48087,Pengeluaran rutin
2024-01-26,16:09,Pengeluaran,Kesehatan,27836,Pengeluaran rutin
2024-01-26,7:15,Pengeluaran,Kesehatan,23540,Pengeluaran rutin
2024-01-26,21:54,Pengeluaran,Kesehatan,38693,Pengeluaran rutin
2024-01-26,8:23,Pengeluaran,Makanan,123438,Pengeluaran rutin
2024-01-27,7:17,Pengeluaran,Kesehatan,152447,Pengeluaran rutin
2024-01-27,12:12,Pengeluaran,Kesehatan,25545,Pengeluaran rutin
2024-01-27,22:04,Pengeluaran,Hiburan,197057,Pengeluaran rutin
2024-01-27,13:35,Pengeluaran,Belanja,71809,Pengeluaran rutin
2024-01-28,16:05,Pengeluaran,Makanan,149699,Pengeluaran rutin
2024-01-28,11:38,Pengeluaran,Belanja,64063,Pengeluaran rutin
2024-01-28,20:46,Pengeluaran,Tagihan,83031,Pengeluaran rutin
2024-01-28,19:00,Pengeluaran,Tagihan,141243,Pengeluaran rutin
2024-01-29,8:41,Pengeluaran,Kesehatan,157865,Pengeluaran rutin
2024-01-29,18:52,Pengeluaran,Hiburan,169011,Pengeluaran rutin
2024-01-29,9:34,Pengeluaran,Transportasi,164666,Pengeluaran rutin
2024-01-29,16:12,Pengeluaran,Tagihan,150471,Pengeluaran rutin
2024-01-30,8:17,Pengeluaran,Makanan,146511,Pengeluaran rutin
2024-01-30,15:27,Pengeluaran,Makanan,61449,Pengeluaran rutin
2024-01-30,7:16,Pengeluaran,Transportasi,139212,Pengeluaran rutin
2024-01-30,18:17,Pengeluaran,Kesehatan,139656,Pengeluaran rutin
2024-01-31,12:08,Pengeluaran,Makanan,193882,Pengeluaran rutin
2024-01-31,13:46,Pengeluaran,Kesehatan,159514,Pengeluaran rutin
2024-01-31,10:51,Pengeluaran,Kesehatan,193478,Pengeluaran rutin
2024-01-31,15:32,Pengeluaran,Tagihan,107249,Pengeluaran rutin
2024-02-01,9:42,Pemasukan,Gaji,4192363,Gaji bulanan
2024-02-01,21:20,Pengeluaran,Tagihan,33750,Pengeluaran rutin
2024-02-01,20:40,Pengeluaran,Kesehatan,34721,Pengeluaran rutin
2024-02-01,10:35,Pengeluaran,Makanan,51612,Pengeluaran rutin
2024-02-01,20:26,Pengeluaran,Makanan,54672,Pengeluaran rutin
2024-02-02,10:35,Pemasukan,Gaji,2414940,Gaji bulanan
2024-02-02,17:59,Pengeluaran,Makanan,171420,Pengeluaran rutin
2024-02-02,21:55,Pengeluaran,Transportasi,153150,Pengeluaran rutin
2024-02-02,16:35,Pengeluaran,Tagihan,85946,Pengeluaran rutin
2024-02-02,19:17,Pengeluaran,Tagihan,91476,Pengeluaran rutin
2024-02-03,10:17,Pemasukan,Gaji,2808797,Gaji bulanan
2024-02-03,16:10,Pengeluaran,Kesehatan,87449,Pengeluaran rutin
2024-02-03,20:40,Pengeluaran,Hiburan,144216,Pengeluaran rutin
2024-02-03,13:55,Pengeluaran,Transportasi,94007,Pengeluaran rutin
2024-02-03,11:32,Pengeluaran,Tagihan,106800,Pengeluaran rutin
2024-02-04,8:44,Pemasukan,Gaji,2080513,Gaji bulanan
