Tanggal,Jam,Kategori,Jumlah,Keterangan
2022-04-07,09:01:00,belanja,76000,Beli alat elektronik kecil
2022-04-07,18:35:00,loundry,12000,Loundry seprai dan selimut
2022-04-07,13:56:00,pajak,80000,Bayar pajak penghasilan
2022-04-08,08:19:00,tagihan,71000,Bayar biaya parkir dan sampah
2022-04-08,06:42:00,asuransi,50000,Perpanjangan asuransi rumah
2022-04-08,21:12:00,hiburan,40000,Beli cemilan saat nonton TV
2022-04-08,07:21:00,asuransi,74000,Bayar premi asuransi jiwa
2022-04-08,12:44:00,pulsa,19000,Beli paket SMS dan telepon
2022-04-09,17:39:00,rumah,85000,Beli tirai dan gorden
2022-04-09,20:32:00,pakaian,43000,Beli pakaian muslim
2022-04-09,10:53:00,loundry,19000,Setrika pakaian kerja
2022-04-09,09:55:00,tagihan,61000,Bayar tagihan air PDAM
2022-04-10,20:06:00,tagihan,60000,Bayar langganan majalah/koran
2022-04-10,16:59:00,pulsa,18000,Beli voucher TV kabel
2022-04-10,17:46:00,pakaian,49000,Beli jaket dan sweater
2022-04-10,11:19:00,rumah,74000,"Pembelian alat keamanan rumah (CCTV, alarm)"
2022-04-10,09:35:00,pulsa,5000,Isi ulang pulsa telepon
2022-04-11,15:08:00,pulsa,18000,Beli paket data internet
2022-04-11,21:37:00,lain-lain,23000,Bayar denda tilang
2022-04-11,19:29:00,kesehatan,70000,Pembelian obat resep dokter
2022-04-11,08:05:00,asuransi,79000,Bayar premi asuransi kendaraan
2022-04-11,10:06:00,lain-lain,41000,Bayar denda tilang
2022-04-12,19:51:00,lain-lain,28000,Hadiah ulang tahun keluarga
2022-04-12,18:24:00,loundry,17000,Bersihkan karpet rumah
2022-04-12,10:38:00,tagihan,96000,Bayar tagihan air PDAM
2022-04-12,07:42:00,rumah,72000,"Pembelian alat keamanan rumah (CCTV, alarm)"
2022-04-13,08:13:00,lain-lain,47000,Hadiah ulang tahun keluarga
2022-04-13,07:02:00,kesehatan,64000,Pembelian obat resep dokter
2022-04-13,17:01:00,kesehatan,74000,Pembelian obat flu dan batuk
2022-04-14,10:31:00,pajak,67000,Pelaporan pajak tahunan
2022-04-14,07:43:00,hiburan,47000,Beli buku novel dan komik
2022-04-14,08:03:00,loundry,27000,Loundry pakaian anak
2022-04-14,09:42:00,pakaian,79000,Beli pakaian tradisional
2022-04-15,14:34:00,pajak,52000,Bayar pajak kendaraan pribadi
2022-04-15,13:34:00,pulsa,18000,Bayar tagihan telepon prabayar
2022-04-15,10:22:00,kesehatan,97000,Pemeriksaan laboratorium
2022-04-15,21:13:00,pulsa,8000,Beli paket data internet
