Year,Total Waste (Tons),Economic Loss (Million $),Avg Waste per Capita (Kg),Population (Million),Household Waste (%),cluster,Country,Food Category
2019.0,19268.63,18686.68,72.69,87.58999999999999,53.64,1,Australia,Fruits & Vegetables
2019.0,3916.9700000000003,4394.48,192.52000000000004,1153.99,30.61,0,Indonesia,Prepared Food
2022.0,9700.16,8909.16,166.94,1006.11,48.08,0,Germany,Dairy Products
2022.9999999999998,46299.69,40551.22,120.19,953.05,31.91,2,France,Fruits & Vegetables
2022.9999999999998,33096.57,36980.82,104.74,1105.47,36.06,2,France,Beverages
2024.0,11962.89,11196.04,136.21,1311.91,37.09,0,India,Fruits & Vegetables
2024.0,45038.72,39191.25,179.27,1349.45,68.93,2,Germany,Prepared Food
2019.0,12791.2,12233.28,90.79999999999998,1229.29,59.9,0,China,Fruits & Vegetables
2019.0,14795.650000000001,14346.97,128.91,450.33000000000004,59.01,0,UK,Meat & Seafood
2019.0,12118.32,13631.17,141.75,359.26,42.42,0,India,Grains & Cereals
2024.0,39478.7,40087.26,155.55,375.84000000000003,31.16,2,South Africa,Frozen Food
2022.0,41025.9,35437.9,49.95000000000001,1219.43,33.79,2,Japan,Frozen Food
2024.0,22924.85,22406.24,89.59,836.05,45.43,2,USA,Beverages
2018.0,29295.069999999996,34102.25,46.64,1286.73,32.95,1,France,Beverages
2022.0,32457.980000000003,27905.84,46.77,865.6,46.46000000000001,2,USA,Bakery Items
2021.0,43264.26,44777.94,41.81,665.18,48.22,2,USA,Meat & Seafood
2021.0,23131.08,21882.67,50.790000000000006,853.06,49.78,0,Brazil,Frozen Food
2019.9999999999998,18483.82,21071.65,198.62,143.12,48.83,0,Saudi Arabia,Prepared Food
2022.0,25829.56,20806.34,119.62,185.01,32.51,2,UK,Meat & Seafood
2018.0,11314.08,10287.7,111.67,953.5200000000001,33.75,0,China,Prepared Food
2019.0,10653.37,8992.33,74.16000000000001,37.76,46.440000000000005,0,Saudi Arabia,Fruits & Vegetables
2019.9999999999998,1322.82,1394.01,88.85,205.78000000000003,30.63,0,Australia,Fruits & Vegetables
2022.9999999999998,33403.26,39125.38,137.6,1299.21,36.55,2,India,Meat & Seafood
2022.9999999999998,30875.29,31341.6,198.26,349.04,52.64,2,Italy,Fruits & Vegetables
2024.0,33085.77,28923.13,37.71,552.45,38.96,2,Saudi Arabia,Prepared Food
2018.0,12336.2,10077.91,38.86,689.21,36.92,0,Germany,Beverages
2021.0,5949.18,6656.14,35.46,698.43,61.480000000000004,0,Brazil,Bakery Items
2018.0,17470.52,16267.239999999998,73.76000000000002,855.4,60.11,1,France,Frozen Food
2021.0,41676.18,43058.29,135.22,1325.54,54.32,2,Spain,Fruits & Vegetables
2018.0,20604.34,23257.47,31.879999999999995,412.45,67.53,1,Mexico,Meat & Seafood
2019.9999999999998,49310.46,49520.57,21.69,983.97,55.47,1,Argentina,Bakery Items
2024.0,26812.66,28028.3,56.99999999999999,891.66,48.81,2,Indonesia,Frozen Food
2022.0,17868.63,20588.93,82.52,897.76,54.59000000000001,0,Argentina,Bakery Items
2019.0,13732.639999999998,15129.939999999999,156.84,618.88,38.14,0,USA,Bakery Items
2019.0,29827.950000000004,31970.55,102.81,1235.4,66.68,1,Saudi Arabia,Beverages
2021.0,28802.200000000004,29584.64,190.42,687.81,33.73,2,Canada,Frozen Food
