content,final_text,score
"suka, tapi terkadang ngelag padahal jaringan udah buagus poll",suka tapi terkadang ngelag padahal jaring sudah buagus poll,4
monton epik,moonton epik,1
game koplak,game koplak,1
kiw moonton syg boleh lah ws 100,ayo moonton sayang boleh win streak,5
good game,good game,5
bagus aja,bagus saja,5
tolong jika memberi tim yg seimbang sukanya ngasih tim yg baru pemula sedangkan musuhnya malah di kasih yg pro mohon untuk memberi tim yg seimbang.,tolong jika beri tim yg imbang suka beri tim yg baru mula sedang musuh malah di beri yg pro mohon untuk beri tim yg imbang,1
"dark system baru, tiap beberapa detik ping jd 300, di relog jd normal lg, pertandingan berikutnya begitu lg 🗿🗿🗿",dark system baru tiap beberapa detik ping jd di relog jd normal lg tanding ikut begitu lg,2
"masuk mode brawl aja kredit score di kurangi, jaringan tiba² terputus pas ditemukan lobby, otomatis GK bisa lobby GK bisa di batalkan lobby nya, saya kena pengurangan kredit score berkali² jadi GK semangat mau main mlbb, payah banget, yg bener aja dong...masa kayak gitu sih MLBB. bintang 1 Uda banyak buat MLBB. trim......",masuk mode brawl saja kredit score di kurang jaring tiba putus pas temu lobby otomatis tidak bisa lobby tidak bisa di batal lobby nya saya kena kurang kredit score kali jadi tidak semangat mau main mobile legends payah banget yg bener saja dongmasa kayak gitu sih mobile legends bintang uda banyak buat mobile legends trim,1
tampungan orang tolol,tampung orang bodoh,1
sistem ga jelas sering di kasih team kek ngebacot trs dapet lawan keras bet kek batu,sistem tidak jelas sering di beri team kek ngebacot terus dapet lawan keras bet kek batu,1
sangat bagus👍,sangat bagus,5
game yang aneh jika ngelag dan menghubungkan kembali tidak bisa di gerakan tolong lebih diperhatikan agar bug bug ini tidak membikin bosan!!,game yang aneh jika ngelag dan hubung kembali tidak bisa di gera tolong lebih perhati agar salah salah ini tidak bikin bosan,1
banyak dark sistem,banyak dark sistem,1
Good game,good game,5
wah gacor habizzzz 🔥🔥🔥🔥🔥🔥,wah gacor habizzzz,5
Bagus banget,bagus banget,5
senang sekali juga bisa kenal sama semua orang baik,senang sekali juga bisa kenal sama semua orang baik,5
ngelag ngelag,ngelag ngelag,3
game jembott,game jembott,1
"Sistemnya ngelag terus, padahal jaringan bagus, perbaiki lagi sistemnya moonton..",sistem ngelag terus padahal jaring bagus baik lagi sistem moonton,1
tolong lah moonton diperbaiki masa kaya gini terus,tolong moonton baik masa kaya gin terus,2
sangat 💯 bagus untuk di mainkan pada waktu malam,sangat bagus untuk di main pada waktu malam,5
"game perusak mental,otak,bikin stress, padahal udh menang di awal malah di comback,udh menang 8000 gold lebih tiba tiba ludes dn kalah,tim nya juga gk ngasih yg setara kayak mitik imortal di tim lawan di tim sendiri 2 orang doang yang imo selebihnya diksih honor dan glory...kan gk logis moonton....tolong lah diperbaiki nih game kalo gk di perbaiki dengan cepat nanti orang yg mainin nih game jadi gila,frustasi,stress dn sebagainya dan juga masalah jaringan,udh itu aj thanks",game usak mentalotakbikin stress padahal sudah menang di awal malah di combackudh menang gold lebih tiba tiba ludes dn kalahtim nya juga tidak beri yg tara kayak mitik imortal di tim lawan di tim sendiri orang doang yang imo lebih diksih hormat dan glorykan tidak logis moontontolong baik ini game kalo tidak di baik dengan cepat nanti orang yg mainin ini game jadi gilafrustasistress dn bagai dan juga masalah jaringanudh itu aj thanks,1
suka sangat,suka sangat,4
game nya bagus,game nya bagus,5
GK niat bikin game ya ? kalo main rank selalu dapat tim yng aneh-aneh dan yng rank berbeda sedangkan musuh selalu jago beda sama tim saya jadi tolong ini game di update tentang keadilan ya males kalo main tuh kalah mulu dan semakin banyak skin yng Keluar semakin berat game nya apa lagi bag ya banyak sekali mohon lebih teliti kembali kalo membuat game 🙏🏻,tidak niat bikin game ya kalo main peringkat selalu dapat tim yng anehaneh dan yng peringkat beda sedang lawan selalu jago beda sama tim saya jadi tolong ini game di baru tentang adil ya males kalo main itu kalah mulu dan makin banyak tampil yng keluar makin berat game nya apa lagi bag ya banyak sekali mohon lebih teliti kembali kalo buat game,1
"game gjls dapat tim GG Mulu sdngkan musuhnya gak ngotak,game kompe paling gjls ya ini",game gjls dapat tim hebat mulu sdngkan musuh tidak ngotakgame kompe paling gjls ya ini,1
udah main beneran malah di buat afk,sudah main beneran malah di buat keluar main,1
apalah game stresssss,apa game stresssss,1
game buruk,game buruk,1
kebanyakan lag.... dan lawan dan kawan yang tidak seimbang.....,banyak lambat dan lawan dan kawan yang tidak imbang,1
banyak drak sistem,banyak drak sistem,1
apa nih moonton dari glory *89 ke honor *45 tolong jangan kasih tim yang drak sistem,apa ini moonton dari glory ke hormat tolong jangan beri tim yang drak sistem,3
bagus,bagus,5
bagus,bagus,5
pliss jangan nerff fanny,pliss jangan nerff fanny,5
WOOWW GAME YANG SANGAT BAGUS. SAYA MENGEPUSH PADA SAAT GRANDMASTER TIDAK NAIK TIDAK TURUN😱😱😱. WOI MOONTON BALIKIN WAKTU GUEEE. PLEASE HILANGIN DARK SISTEM WOOOOIIIIIIIIII,wooww game yang sangat bagus saya mengepush pada saat grandmaster tidak naik tidak turun woi moonton balikin waktu gueee please hilangin dark sistem wooooiiiiiiiiii,5
cocok buat penghilang stress kalo winstrek,cocok buat hilang stress kalo winstrek,5
gajelas tim nya gua lose streak terus,gajelas tim nya gua lose streak terus,1
ngasih tim yang bener lah bujanginam,beri tim yang bener bujanginam,1
jaringan,jaring,4
kenapa dah abis di perbarui malah jadi ga bisa login,kenapa sudah abis di baru malah jadi tidak bisa login,5
"bagus TPI suka ngelek, trus sistem ny kadang rusak",bagus tpi suka ngelek terus sistem ny kadang rusak,5
kenapa saya GK pernah menag???,kenapa saya tidak pernah menag,5
"coba collabs sama donghua min, karena donghua grafiknya 3D jadi bagus nanti kayak kungfu panda gambarnya gak blur. salah 1 donghua : perfect world",coba collabs sama donghua admin karena donghua grafik d jadi bagus nanti kayak kungfu panda gambar tidak blur salah donghua perfect world,5
baguss,baguss,5
saya lama tidak bermain mobile legends tetapi waktu saya mau main kok tidak bisa login ya🙏🙏,saya lama tidak main mobile legends tetapi waktu saya mau main tidak bisa login ya,5
bagus banget,bagus banget,5
tidak bagus game nya,tidak bagus game nya,1
bosen bet,bosen bet,1
"Aku sangat suka game ini character dan skin skin nya tapi ada salah satu yang gw gk suka hari ini saya main saya punya tim yang pacaran baru tim musuh nya bilang ""Sini buat saya aja pacar nya"" ""pacarnya buat kakak gw aja"" baru pas saya sudah selesai main saya langsung lapor mereka",saya sangat suka game ini character dan tampil tampil nya tapi ada salah satu yang saya tidak suka hari ini saya main saya punya tim yang pacar baru tim lawan nya bilang sini buat saya saja pacar nya pacar buat kakak saya saja baru pas saya sudah selesai main saya langsung lapor mereka,5
tolong jangan kasih dark system,tolong jangan beri dark system,1
"ngasih tim yang bener kocak, orang skill warior di biarin naik ke mitik",beri tim yang bener kocak orang skill warior di biarin naik ke mitik,1
di trol mulu gak seru jadi nya baguss free fayer,di trol mulu tidak seru jadi nya baguss free fayer,1
bagus dan asik,bagus dan asik,5
gak seimbang kurang adil deskriminasi,tidak imbang kurang adil deskriminasi,2
kontoll di kasih tim dari sistem mulu,kontoll di beri tim dari sistem mulu,1
game ini memiliki matcmaking yang sangat tidak seimbang barusan saya bertemu dengan tim yang epic sedangkan saya dan tim musuh legend juga sehingga saya kalah namun kejadian ini berulang kali sehingga saya losetreak 19 kali ini alasan saya mengunistal game ini karena selain membuat orang ketagihan bisa membuat orang mendapat kan dosa karena mengata ngatain teman atau musuh . jika game ini mengalami update pertimbangkan matchmaking antara teman tim dan lawan,game ini milik matcmaking yang sangat tidak imbang barusan saya temu dengan tim yang peringkat rendah sedang saya dan tim lawan legenda juga sehingga saya kalah namun jadi ini ulang kali sehingga saya losetreak kali ini alas saya mengunistal game ini karena selain buat orang tagih bisa buat orang dapat kan dosa karena kata ngatain teman atau lawan jika game ini alami baru timbang matchmaking antara teman tim dan lawan,2
"game rusak skrng banyak yg make2 cheat,buat game nya jadi lag parah,skrng maen jadi gak nyaman",game rusak skrng banyak yg make cheatbuat game nya jadi lambat parahskrng maen jadi tidak nyaman,2
aku udh kasih bintang 5 kalo bisa give aku skin ling👍,saya sudah beri bintang kalo bisa give saya tampil ling,5
keren,keren,5
